IR,RED
65288.0,68602.0
65325.0,68579.0
65341.0,68565.0
65324.0,68559.0
65316.0,68600.0
65313.0,68599.0
65305.0,68595.0
65336.0,68572.0
65313.0,68584.0
65328.0,68602.0
65284.0,68587.0
65288.0,68574.0
65306.0,68564.0
65332.0,68554.0
65317.0,68583.0
65298.0,68585.0
65304.0,68595.0
65321.0,68566.0
65326.0,68588.0
65296.0,68608.0
65304.0,68561.0
65294.0,68589.0
65325.0,68570.0
65351.0,68554.0
65323.0,68572.0
65303.0,68602.0
65292.0,68567.0
65290.0,68573.0
65334.0,68562.0
65331.0,68598.0
65310.0,68621.0
65312.0,68585.0
65327.0,68586.0
65351.0,68577.0
65350.0,68586.0
65322.0,68632.0
65310.0,68610.0
65339.0,68604.0
65328.0,68598.0
65347.0,68599.0
65339.0,68622.0
65342.0,68650.0
65303.0,68635.0
65327.0,68601.0
65369.0,68606.0
65344.0,68635.0
65336.0,68635.0
65325.0,68631.0
65330.0,68625.0
65317.0,68627.0
65353.0,68592.0
65354.0,68595.0
65330.0,68650.0
65325.0,68638.0
65322.0,68634.0
65310.0,68639.0
65374.0,68610.0
65355.0,68628.0
65360.0,68673.0
65094.0,68647.0
65124.0,68626.0
65170.0,68617.0
65149.0,68623.0
65143.0,68696.0
65136.0,68677.0
65114.0,68648.0
65116.0,68663.0
65137.0,68646.0
65138.0,68667.0
65171.0,68644.0
65161.0,68665.0
65151.0,68660.0
65147.0,68705.0
65123.0,68677.0
65136.0,68660.0
65161.0,68672.0
65145.0,68659.0
65169.0,68692.0
65152.0,68690.0
65136.0,68685.0
65139.0,68658.0
65167.0,68682.0
65184.0,68672.0
65129.0,68695.0
65163.0,68739.0
65151.0,68711.0
65138.0,68704.0
65119.0,68701.0
65165.0,68670.0
65175.0,68697.0
65153.0,68677.0
65160.0,68680.0
65161.0,68691.0
65146.0,68732.0
65147.0,68718.0
65139.0,68697.0
65132.0,68688.0
65192.0,68673.0
65160.0,68691.0
65170.0,68698.0
65150.0,68747.0
65147.0,68724.0
65154.0,68720.0
65124.0,68718.0
65182.0,68697.0
65173.0,68694.0
65164.0,68738.0
65162.0,68743.0
65151.0,68744.0
65156.0,68730.0
65148.0,68716.0
65187.0,68703.0
65166.0,68739.0
65170.0,68761.0
65162.0,68760.0
65165.0,68737.0
65156.0,68737.0
65176.0,68721.0
65189.0,68730.0
65160.0,68708.0
65181.0,68752.0
65155.0,68770.0
65156.0,68734.0
65151.0,68707.0
65137.0,68729.0
65150.0,68692.0
65168.0,68683.0
65148.0,68677.0
65152.0,68697.0
65136.0,68697.0
65146.0,68696.0
65107.0,68654.0
65143.0,68659.0
65136.0,68622.0
65114.0,68643.0
65103.0,68636.0
65097.0,68607.0
65080.0,68617.0
65118.0,68620.0
65083.0,68563.0
65103.0,68596.0
65080.0,68585.0
65077.0,68573.0
65068.0,68549.0
65065.0,68545.0
65080.0,68533.0
65122.0,68519.0
65092.0,68531.0
65072.0,68547.0
65035.0,68550.0
65071.0,68528.0
65059.0,68527.0
65101.0,68474.0
65068.0,68515.0
65054.0,68536.0
65057.0,68497.0
65025.0,68506.0
65039.0,68490.0
65051.0,68481.0
65063.0,68474.0
65059.0,68474.0
65048.0,68510.0
65070.0,68474.0
65017.0,68480.0
65022.0,68472.0
65016.0,68467.0
65048.0,68479.0
65057.0,68451.0
65051.0,68454.0
65049.0,68481.0
65023.0,68457.0
65019.0,68452.0
65072.0,68465.0
65053.0,68456.0
65073.0,68452.0
65042.0,68469.0
65022.0,68468.0
65009.0,68442.0
65027.0,68428.0
65022.0,68440.0
65059.0,68426.0
65048.0,68425.0
65040.0,68455.0
65033.0,68459.0
65037.0,68451.0
65012.0,68448.0
65024.0,68445.0
65036.0,68427.0
65044.0,68423.0
65046.0,68435.0
65041.0,68443.0
65021.0,68458.0
65028.0,68453.0
65013.0,68445.0
65030.0,68450.0
65038.0,68437.0
65062.0,68433.0
65067.0,68468.0
65047.0,68483.0
65040.0,68498.0
65040.0,68472.0
65025.0,68461.0
65050.0,68480.0
65078.0,68473.0
65079.0,68469.0
65058.0,68485.0
65073.0,68518.0
65047.0,68499.0
65043.0,68502.0
65072.0,68494.0
65079.0,68462.0
65073.0,68497.0
65056.0,68534.0
65043.0,68513.0
65040.0,68516.0
65021.0,68505.0
65093.0,68495.0
65100.0,68498.0
65068.0,68491.0
65068.0,68562.0
65079.0,68523.0
65051.0,68533.0
65028.0,68536.0
65084.0,68514.0
65086.0,68492.0
65077.0,68499.0
65069.0,68528.0
65066.0,68532.0
65072.0,68530.0
65048.0,68500.0
65037.0,68525.0
65047.0,68500.0
65082.0,68498.0
65065.0,68492.0
65055.0,68509.0
65043.0,68531.0
65043.0,68513.0
65087.0,68477.0
65082.0,68478.0
65068.0,68508.0
65034.0,68543.0
65023.0,68509.0
65043.0,68477.0
65066.0,68473.0
65061.0,68492.0
65058.0,68514.0
65048.0,68528.0
65040.0,68501.0
65026.0,68524.0
65078.0,68507.0
65058.0,68502.0
65067.0,68520.0
65054.0,68524.0
65042.0,68522.0
65030.0,68511.0
65049.0,68509.0
65071.0,68508.0
65066.0,68537.0
65036.0,68527.0
65039.0,68520.0
65032.0,68511.0
65029.0,68518.0
65077.0,68511.0
65091.0,68499.0
65058.0,68543.0
65050.0,68519.0
65040.0,68541.0
65034.0,68539.0
65045.0,68539.0
65077.0,68501.0
65064.0,68492.0
65074.0,68521.0
65054.0,68531.0
65051.0,68543.0
65017.0,68516.0
65036.0,68515.0
65086.0,68478.0
65076.0,68518.0
65044.0,68536.0
65078.0,68553.0
65061.0,68494.0
65050.0,68542.0
65039.0,68528.0
65062.0,68529.0
65058.0,68497.0
65085.0,68523.0
65066.0,68529.0
65068.0,68559.0
65056.0,68526.0
65030.0,68526.0
65034.0,68524.0
